Abilene, TX	160,245	165,252	5,007	3.1
Akron, OH	694,960	703,200	8,240	1.2
Albany, GA	157,833	157,308	-525	-0.3
Albany, OR	103,069	116,672	13,603	13.2
Albany-Schenectady-Troy, NY	825,875	870,716	44,841	5.4
Albuquerque, NM	729,649	887,077	157,428	21.6
Alexandria, LA	145,035	153,922	8,887	6.1
Allentown-Bethlehem-Easton, PA-NJ	740,395	821,173	80,778	10.9
Altoona, PA	129,144	127,089	-2,055	-1.6
Amarillo, TX	228,707	251,933	23,226	10.2
Ames, IA	79,981	89,542	9,561	12.0
Anchorage, AK	319,605	380,821	61,216	19.2
Ann Arbor, MI	322,895	344,791	21,896	6.8
Anniston-Oxford-Jacksonville, AL	112,249	118,572	6,323	5.6
